category_id,category_name
101327,Phụ Kiện Tập Luyện
101328,Đồ Bảo Hộ Gym
101330,Giấy Gói Quà
101331,Hộp Quà Tặng
101332,Túi Quà Tặng
101333,Ruy Băng
101334,Xốp Chống Sốc
101335,Hộp Carton
101336,Khác
100825,Trà & trà túi lọc
100826,Thức uống Sô cô la
100827,Nước tăng lực
100828,Nước tinh khiết
100829,Nước trái cây lên men
100830,Siro pha
100831,Nước có ga
100832,Bột pha
100833,Đồ tráng miệng
100834,Trà thảo mộc
100835,Topping
100836,Sữa thực vật
101593,Sữa tươi
101594,Sữa tiệt trùng
101595,Sữa đặc
101596,Sữa bột
100557,Giày thể thao/ sneaker
100588,Giày bale
100589,Giày lười
100590,Giày Oxford & Giày buộc dây
100591,Giày sục & Giày búp bê
100559,Giày cao gót
100560,Giày đế xuồng
100593,Xăng-đan đế bằng
100594,Dép kẹp/ dép xỏ ngón
100595,Dép mát-xa
100596,Dép đi trong nhà
100599,Miếng lót giày
100600,Cây đón gót & Giữ form giày
100601,Đồ chăm sóc và làm sạch giày
100602,Dây giày
100564,Ba lô
101306,Giày Bóng Đá
101307,Giày Thể Thao Trẻ Em
101308,Giày Thể Thao Khác
101309,Bộ Đồ Thể Thao
101310,Áo Khoác
101311,Áo Thể Thao
101312,Áo CLB
101313,Quần Thể Thao
101897,Quần Bơi
101898,Bộ Bikini
101899,Đồ Bơi Một Mảnh
101900,Áo Bơi Kín
101315,Áo Lót Thể Thao
101316,Thời Trang Thể Thao Trẻ Em
101318,Đồng Hồ Bấm Giây & Máy Đếm Bước Chân
101319,Túi Đựng Giày
100808,Gói/ bột gia vị
100809,Phụ gia thực phẩm
100810,Bột phủ
100811,Khác
100812,Hương liệu
100813,Bột nở và muối nở
100814,Bột pha sẵn
100815,Bột mì
100816,Chất tạo màu
100817,Đồ trang trí
100818,Khác
100819,Mật ong và siro
100820,Mứt
100821,Ngũ cốc
100822,Thanh dinh dưỡng
100824,Cà phê
102027,Súp hộp
102028,Khác
100802,Rau củ ngâm
100803,Dầu ăn
101584,Tiêu
101585,Muối
101586,Gia vị & Thảo mộc
101587,Các loại sốt
101588,Ớt & sa tế
101589,Giấm
101590,Rượu nấu ăn
101591,Nước chấm
101592,Khác
